electorate,state
Bean,ACT
Canberra,ACT
Fenner,ACT
Banks,NSW
Barton,NSW
Bennelong,NSW
Berowra,NSW
Blaxland,NSW
Bradfield,NSW
Calare,NSW
Chifley,NSW
Cook,NSW
Cowper,NSW
Cunningham,NSW
Dobell,NSW
Eden-Monaro,NSW
Farrer,NSW
Fowler,NSW
Gilmore,NSW
Grayndler,NSW
Greenway,NSW
Hughes,NSW
Hume,NSW
Hunter,NSW
Kingsford Smith,NSW
Lindsay,NSW
Lyne,NSW
Macarthur,NSW
Mackellar,NSW
Macquarie,NSW
McMahon,NSW
Mitchell,NSW
Newcastle,NSW
New England,NSW
North Sydney,NSW
Page,NSW
Parkes,NSW
Parramatta,NSW
Paterson,NSW
Reid,NSW
Richmond,NSW
Riverina,NSW
Robertson,NSW
Shortland,NSW
Sydney,NSW
Warringah,NSW
Watson,NSW
Wentworth,NSW
Werriwa,NSW
Whitlam,NSW
Lingiari,NT
Solomon,NT
Blair,Qld
Bonner,Qld
Bowman,Qld
Brisbane,Qld
Capricornia,Qld
Dawson,Qld
Dickson,Qld
Fadden,Qld
Fairfax,Qld
Fisher,Qld
Flynn,Qld
Forde,Qld
Griffith,Qld
Groom,Qld
Herbert,Qld
Hinkler,Qld
Kennedy,Qld
Leichhardt,Qld
Lilley,Qld
Longman,Qld
Maranoa,Qld
McPherson,Qld
Moncrieff,Qld
Moreton,Qld
Oxley,Qld
Petrie,Qld
Rankin,Qld
Ryan,Qld
Wide Bay,Qld
Wright,Qld
Adelaide,SA
Barker,SA
Boothby,SA
Grey,SA
Hindmarsh,SA
Kingston,SA
Makin,SA
Mayo,SA
Spence,SA
Sturt,SA
Bass,Tas.
Braddon,Tas.
Clark,Tas.
Franklin,Tas.
Lyons,Tas.
Aston,Vic.
Ballarat,Vic.
Bendigo,Vic.
Bruce,Vic.
Calwell,Vic.
Casey,Vic.
Chisholm,Vic.
Cooper,Vic.
Corangamite,Vic.
Corio,Vic.
Deakin,Vic.
Dunkley,Vic.
Flinders,Vic.
Fraser,Vic.
Gellibrand,Vic.
Gippsland,Vic.
Goldstein,Vic.
Gorton,Vic.
Higgins,Vic.
Holt,Vic.
Hotham,Vic.
Indi,Vic.
Isaacs,Vic.
Jagajaga,Vic.
Kooyong,Vic.
Lalor,Vic.
La Trobe,Vic.
Macnamara,Vic.
Mallee,Vic.
Maribyrnong,Vic.
McEwen,Vic.
Melbourne,Vic.
Menzies,Vic.
Monash,Vic.
Nicholls,Vic.
Scullin,Vic.
Wannon,Vic.
Wills,Vic.
Brand,WA
Burt,WA
Canning,WA
Cowan,WA
Curtin,WA
Durack,WA
Forrest,WA
Fremantle,WA
Hasluck,WA
Moore,WA
O'Connor,WA
Pearce,WA
Perth,WA
Stirling,WA
Swan,WA
Tangney,WA